City_State,Timestamp,Traffic_Congestion (%),Avg_Vehicle_Speed (MPH),PM2.5_Level (µg/m³),CO2_Emissions (Metric Tons),Noise_Pollution (dB),Renewable_Energy (%),Electricity_Consumption (MWh),Water_Consumption (Million Gallons),Temperature (°F),Sensor_Reliability (0-1),Traffic_Incident,Weather_Condition
"Chicago, IL",18-01-2024 07:00,85,32,19.49,283.82,78,17.1,4474.68,173.66,82.9,0.98,Road Construction,Snowy
"Houston, TX",18-01-2024 08:00,44,42,35.6,63.32,65,76.32,1976.08,20.02,87.5,0.82,Event Nearby,Snowy
"Phoenix, AZ",18-01-2024 09:00,34,56,21.54,287.09,55,11.6,1762.78,62.87,49.4,0.99,Clear,Snowy
"Chicago, IL",18-01-2024 10:00,84,17,35.97,106.63,61,73.19,3528.18,26.87,40.8,0.75,Heavy Traffic,Sunny
"New York, NY",18-01-2024 11:00,44,46,12.87,243.86,84,15.84,1071.72,56.7,92.2,0.99,Event Nearby,Rainy
"Phoenix, AZ",18-01-2024 12:00,24,61,48.48,244.18,87,37.02,3567.08,189.59,53.7,0.88,Road Construction,Rainy
"New York, NY",18-01-2024 13:00,28,17,19.03,86.37,78,48.58,2863.02,74.31,81.1,0.9,Road Construction,Rainy
"New York, NY",18-01-2024 14:00,41,24,48.9,383.99,83,34.28,4047.13,131.18,64.7,0.75,Road Construction,Rainy
"San Jose, CA",18-01-2024 15:00,40,33,18.1,144.71,67,15.89,1071.69,148.15,91.9,0.72,Road Construction,Foggy
"Dallas, TX",18-01-2024 16:00,64,16,19.12,308.97,47,30.04,2519.87,40.29,50.8,1,Accident,Sunny
"San Diego, CA",18-01-2024 17:00,27,24,24.52,307.68,70,42.39,4853.43,53.39,48.3,0.79,Accident,Snowy
"Chicago, IL",18-01-2024 18:00,39,63,24.69,293.36,78,57.8,3339.69,110.16,41.3,0.88,Clear,Cloudy
"Philadelphia, PA",18-01-2024 19:00,46,69,28.77,188.43,80,62.72,3948.42,81.31,61,0.73,Heavy Traffic,Rainy
"Dallas, TX",18-01-2024 20:00,49,69,5.15,255.87,61,29.56,2351.62,104.62,63.6,0.98,Road Construction,Sunny
"Phoenix, AZ",18-01-2024 21:00,76,21,29.29,229.1,71,41.22,1748.29,175.79,53.7,0.93,Accident,Rainy
"Houston, TX",18-01-2024 22:00,72,35,26.97,337.1,56,35.79,3391.48,169.58,30.2,0.85,Heavy Traffic,Snowy
"Los Angeles, CA",18-01-2024 23:00,43,19,35.46,208.72,54,40.11,2463.12,67.78,56.6,0.91,Accident,Foggy
"Phoenix, AZ",19-01-2024 00:00,89,20,11.69,269.75,57,20.17,3943.46,173.16,61.2,0.7,Accident,Snowy
"New York, NY",19-01-2024 01:00,21,44,5.99,191.95,40,47.16,4721.78,54.39,46.1,0.9,Road Construction,Cloudy
"Dallas, TX",19-01-2024 02:00,76,60,44.01,56,75,17.91,1950.52,109.35,97.8,0.97,Accident,Sunny
"San Jose, CA",19-01-2024 03:00,20,47,30.51,111.05,72,70.77,2741.53,39.18,37.6,0.94,Event Nearby,Sunny
"Phoenix, AZ",19-01-2024 04:00,55,61,31.89,126.72,71,68.09,1321.9,155.83,80,0.93,Event Nearby,Rainy
"Philadelphia, PA",19-01-2024 05:00,56,15,38.59,306.52,69,28.67,2597.88,177.92,55.5,0.89,Road Construction,Foggy
"New York, NY",19-01-2024 06:00,91,24,22.96,328.22,41,76.54,3771.57,103.02,71.5,0.99,Clear,Sunny
"San Jose, CA",19-01-2024 07:00,65,67,43.12,349.85,55,15.25,4461.5,82.26,36,1,Road Construction,Foggy
"Chicago, IL",19-01-2024 08:00,84,20,43.45,262.25,62,67.58,3433.23,97.81,68.7,0.73,Heavy Traffic,Rainy
"Houston, TX",19-01-2024 09:00,63,45,17.56,93.23,52,20.32,3356.36,24.2,59.3,0.8,Clear,Foggy
"San Jose, CA",19-01-2024 10:00,36,66,17.82,394.61,50,62.87,4661.16,61.34,46.3,0.85,Event Nearby,Rainy
"San Antonio, TX",19-01-2024 11:00,77,17,36.62,231.2,80,76.41,2662.59,112.87,60.7,0.98,Road Construction,Foggy
"Dallas, TX",19-01-2024 12:00,23,69,39.81,228.95,54,32.86,3498.54,16.81,44.4,0.9,Clear,Foggy
"Dallas, TX",19-01-2024 13:00,34,15,23.57,241.13,82,10.99,4186.04,39.53,97.7,0.85,Event Nearby,Sunny
"Houston, TX",19-01-2024 14:00,50,54,12.49,119.08,52,30.77,1481.14,53.4,91.1,0.86,Clear,Foggy
"Philadelphia, PA",19-01-2024 15:00,62,29,6.63,135.36,69,35.3,2249.71,186.3,80.2,0.99,Road Construction,Cloudy
"Phoenix, AZ",19-01-2024 16:00,66,66,26.9,116.99,67,63.96,3406.46,32.43,86.4,0.89,Accident,Snowy
"Philadelphia, PA",19-01-2024 17:00,56,56,33.61,377.57,73,50.7,3081.71,192.3,71.8,0.92,Accident,Rainy
"Phoenix, AZ",19-01-2024 18:00,71,24,45.76,149.23,56,59.77,1620.87,118.79,95.1,0.74,Clear,Foggy
"Phoenix, AZ",19-01-2024 19:00,45,33,48.6,82.8,65,18.66,2171.54,188.9,76.3,0.81,Clear,Foggy
"Los Angeles, CA",19-01-2024 20:00,90,47,7.66,290.8,89,38.47,4515.92,89.09,46.9,0.79,Road Construction,Sunny
"San Diego, CA",19-01-2024 21:00,56,30,16.22,134.62,68,20.37,3030.38,101.93,38.5,0.92,Accident,Foggy
"Chicago, IL",19-01-2024 22:00,35,31,10.73,132.06,41,79.08,3618.05,12.09,35.4,0.79,Road Construction,Sunny
"Houston, TX",19-01-2024 23:00,72,26,42.38,161.47,69,41.81,2593.43,194.53,93.1,0.71,Clear,Cloudy
"Dallas, TX",20-01-2024 00:00,51,39,10.44,172.47,46,20.55,3683.23,83.44,41.6,0.71,Clear,Snowy
"San Diego, CA",20-01-2024 01:00,60,33,9.32,161.56,40,56.54,3954.96,58.02,91.8,0.79,Heavy Traffic,Cloudy
"Chicago, IL",20-01-2024 02:00,80,35,49.24,363.93,53,47.65,3572.5,43.82,40.9,0.92,Road Construction,Snowy
"New York, NY",20-01-2024 03:00,73,17,48.54,53.28,49,11.76,3566.85,42.8,80.1,0.74,Road Construction,Cloudy
"Dallas, TX",20-01-2024 04:00,41,55,36.28,375.94,83,79.48,4826.59,151.34,93.8,0.79,Event Nearby,Foggy
"Houston, TX",20-01-2024 05:00,48,58,21.77,146.08,67,27.1,2890.55,183.32,57.8,0.93,Event Nearby,Sunny
"Chicago, IL",20-01-2024 06:00,38,16,26.97,313.26,86,14.86,2369.47,92.69,30.7,0.92,Event Nearby,Cloudy
"New York, NY",20-01-2024 07:00,58,23,36.73,133.96,54,10.87,2147.5,155.88,97.2,0.9,Clear,Foggy
"San Diego, CA",20-01-2024 08:00,56,58,49.15,106.94,40,49.93,3371.44,98.86,60.2,0.87,Heavy Traffic,Snowy
"Philadelphia, PA",20-01-2024 09:00,37,62,40.63,164.92,84,38.51,4126.28,137.59,64.6,0.73,Road Construction,Rainy
"Houston, TX",20-01-2024 10:00,49,49,17.62,355.02,79,79.91,1966.9,146.23,50.9,0.71,Accident,Foggy
"Dallas, TX",20-01-2024 11:00,42,57,44.79,136.98,73,64.75,3507.51,143.34,82.6,0.81,Clear,Cloudy
"New York, NY",20-01-2024 12:00,76,61,46.69,200.07,58,48.08,4937.89,61.23,53.5,0.99,Accident,Sunny
"Los Angeles, CA",20-01-2024 13:00,62,31,37.94,62.39,71,72.03,4542.39,89.76,96.2,0.85,Heavy Traffic,Foggy
"Chicago, IL",20-01-2024 14:00,92,19,5.1,380.16,44,70.86,3197.07,37.3,96.4,0.93,Accident,Sunny
"New York, NY",20-01-2024 15:00,56,54,38.89,228.43,40,49.45,2557.03,176.06,99.7,0.86,Event Nearby,Foggy
"San Jose, CA",20-01-2024 16:00,79,34,28.01,265.66,77,20.82,2688.2,97.04,43.8,0.71,Heavy Traffic,Rainy
"San Jose, CA",20-01-2024 17:00,87,51,29.38,316.96,77,72.91,1933.02,129.67,86.3,0.96,Road Construction,Snowy
"Philadelphia, PA",20-01-2024 18:00,65,27,31.49,244.54,86,52.91,4560.65,98.07,57.9,0.78,Heavy Traffic,Rainy
"Philadelphia, PA",20-01-2024 19:00,37,28,16.44,192.09,66,78.36,3004.87,70.57,92.8,0.94,Accident,Snowy
"Philadelphia, PA",20-01-2024 20:00,23,53,6.77,368.31,77,68.47,1015.21,190.71,57.6,0.71,Accident,Foggy
"New York, NY",20-01-2024 21:00,62,66,25.36,265.38,44,26.16,4890.56,155.89,90.8,0.99,Clear,Foggy
"San Jose, CA",20-01-2024 22:00,65,15,5.9,199.91,72,42.11,3577.55,198.35,42.9,0.74,Clear,Cloudy
"Phoenix, AZ",20-01-2024 23:00,93,47,10.94,95.43,85,42.2,2439.54,165.28,91.3,0.98,Heavy Traffic,Rainy
"Dallas, TX",21-01-2024 00:00,60,30,5.16,112.56,86,62.69,3105.33,99.15,30.4,0.76,Clear,Foggy
"Houston, TX",21-01-2024 01:00,60,53,16.97,185.15,40,70.05,1629.09,91.67,39,0.81,Event Nearby,Snowy
"Chicago, IL",21-01-2024 02:00,54,46,41.56,320.8,83,46.75,3387.59,110.5,58.3,0.88,Clear,Rainy
"New York, NY",21-01-2024 03:00,34,52,49,297.67,80,54.73,3035.96,171.34,40.6,0.85,Event Nearby,Sunny
"San Antonio, TX",21-01-2024 04:00,24,37,49.71,189.28,69,61.8,4312.46,110.26,44.5,0.88,Road Construction,Rainy
"San Antonio, TX",21-01-2024 05:00,28,43,39.83,66.05,81,36.65,1061.06,120.33,89.4,0.78,Event Nearby,Sunny
"Los Angeles, CA",21-01-2024 06:00,46,58,10.95,226.52,42,25.35,2587.54,107.08,66.5,0.89,Event Nearby,Rainy
"Houston, TX",21-01-2024 07:00,90,24,47.79,104.53,73,12.62,2990.41,23.04,75.6,0.94,Clear,Foggy
"San Jose, CA",21-01-2024 08:00,38,59,41.7,371.54,67,10.75,3823.45,60.02,61.1,0.82,Road Construction,Sunny
"Dallas, TX",21-01-2024 09:00,75,35,41.33,359.1,82,24.29,4719.08,87.98,46.2,0.85,Road Construction,Foggy
"Houston, TX",21-01-2024 10:00,58,38,5.99,207.5,61,47.21,4415.67,51.98,62.3,0.74,Road Construction,Foggy
"San Antonio, TX",21-01-2024 11:00,26,40,6.5,98.52,50,52.43,2239.97,96.05,70.7,0.86,Accident,Foggy
"San Antonio, TX",21-01-2024 12:00,82,51,18.19,246.84,83,43.18,4865.03,15.7,59.4,0.79,Road Construction,Snowy
"Phoenix, AZ",21-01-2024 13:00,44,61,19.55,90.77,41,41.6,3880.39,128.09,40.5,0.74,Accident,Sunny
"Los Angeles, CA",21-01-2024 14:00,92,19,6.58,63.72,73,62.88,1511.36,67.2,75.2,0.88,Road Construction,Cloudy
"Dallas, TX",21-01-2024 15:00,75,62,23.23,341.16,86,46.26,3334.82,184.58,47,0.83,Clear,Sunny
"San Jose, CA",21-01-2024 16:00,51,24,41.46,227.83,67,69.49,3863.38,89.55,76.8,0.7,Road Construction,Snowy
"Philadelphia, PA",21-01-2024 17:00,75,44,42.25,198.72,42,67.76,2008.38,61.45,95.2,0.88,Road Construction,Snowy
"Los Angeles, CA",21-01-2024 18:00,59,17,36.59,123.84,58,47.31,1935.95,71.65,31.5,0.7,Accident,Rainy
"Houston, TX",21-01-2024 19:00,52,46,27.35,193.89,54,52.01,2446.06,51.19,98.1,0.76,Accident,Cloudy
"Houston, TX",21-01-2024 20:00,21,44,48.74,337.67,43,22.18,2581.87,178.82,44.4,0.71,Heavy Traffic,Foggy
"Chicago, IL",21-01-2024 21:00,77,25,20.38,95.28,73,24.64,2508.03,84.36,40.9,0.89,Event Nearby,Rainy
"San Jose, CA",21-01-2024 22:00,63,68,40.79,126.18,62,59.75,3588.12,130.34,64.5,0.8,Clear,Sunny
"Houston, TX",21-01-2024 23:00,55,44,12.12,52.55,60,22.83,3150.22,49.78,35,0.9,Road Construction,Snowy
"Houston, TX",22-01-2024 00:00,50,17,6.04,377.11,53,54.15,1610.85,87.81,62.6,0.88,Event Nearby,Sunny
"Philadelphia, PA",22-01-2024 01:00,53,55,31.96,72.55,57,72.52,1593.09,36.44,79.2,0.79,Accident,Cloudy
"San Diego, CA",22-01-2024 02:00,44,57,44.35,360.77,77,50.25,2120.16,66.37,84,0.72,Clear,Sunny
"Dallas, TX",22-01-2024 03:00,73,54,38.26,74.39,58,73.48,2976.53,121.22,93.3,0.96,Road Construction,Cloudy
"Philadelphia, PA",22-01-2024 04:00,44,69,40.59,86.66,54,46.52,3020.83,183.41,62.9,0.84,Event Nearby,Rainy
"San Antonio, TX",22-01-2024 05:00,88,15,39.79,258.55,47,61.3,1406.19,74.63,87.7,0.98,Accident,Snowy
"Dallas, TX",22-01-2024 06:00,35,55,32.6,227.57,87,12.31,1844.02,192.97,55.9,0.76,Heavy Traffic,Cloudy
"San Jose, CA",22-01-2024 07:00,70,23,10.38,126.97,45,22.48,2164.44,109.01,55.5,0.75,Accident,Foggy
"San Antonio, TX",22-01-2024 08:00,70,27,30.06,58.83,42,46.88,1948.76,101.51,93.6,0.9,Event Nearby,Rainy
"Dallas, TX",22-01-2024 09:00,88,16,47.57,347.66,55,50.28,1568.71,104.31,48.2,0.73,Event Nearby,Snowy
"New York, NY",22-01-2024 10:00,76,18,24.53,274.62,87,56.24,3980.07,187.22,48.5,0.7,Road Construction,Cloudy
"San Antonio, TX",22-01-2024 11:00,41,39,12.69,227.88,87,75.39,4509.34,171.47,52.5,0.87,Event Nearby,Snowy
"Philadelphia, PA",22-01-2024 12:00,66,19,28.08,244.04,51,20.2,3092.12,186.99,52.4,0.87,Event Nearby,Sunny
"Houston, TX",22-01-2024 13:00,91,65,47.71,245.87,79,27.38,1666.23,126.81,35.4,0.86,Heavy Traffic,Sunny
"Chicago, IL",22-01-2024 14:00,53,38,25.03,296.83,86,28.79,4138.93,148.95,44,0.94,Road Construction,Sunny
"San Antonio, TX",22-01-2024 15:00,68,33,31.62,389.07,79,74.32,1025.98,33.33,37.3,0.84,Accident,Cloudy
"New York, NY",22-01-2024 16:00,51,53,30.78,159.8,83,78.5,1599.34,174.11,96.5,0.96,Event Nearby,Rainy
"Phoenix, AZ",22-01-2024 17:00,55,15,9.27,280.33,76,20.8,4740,18.6,95.2,0.89,Clear,Rainy
"Los Angeles, CA",22-01-2024 18:00,59,29,19.91,127.71,52,35.91,4768.69,90.22,70,0.73,Road Construction,Foggy
"Chicago, IL",22-01-2024 19:00,62,20,13.55,142.9,59,24.45,4451.25,100.61,34.9,0.89,Event Nearby,Sunny
"Phoenix, AZ",22-01-2024 20:00,85,26,30.81,331.58,49,41.04,1506.93,121.78,49.6,0.76,Accident,Foggy
"Dallas, TX",22-01-2024 21:00,63,30,12.53,285.12,57,53.74,3537.61,158.75,71.9,0.94,Heavy Traffic,Sunny
"Dallas, TX",22-01-2024 22:00,93,41,36.57,212.27,70,62.57,2149.4,196.15,59.8,0.87,Accident,Cloudy
"San Jose, CA",22-01-2024 23:00,31,23,29.73,158.52,76,72.96,2503.68,138.12,71.3,0.98,Clear,Foggy
"Los Angeles, CA",23-01-2024 00:00,89,46,44.49,312.34,83,37.79,2144.63,117.09,72.9,0.89,Clear,Foggy
"Chicago, IL",23-01-2024 01:00,62,55,34.08,306.97,60,62.71,4714.09,143.88,84.5,0.96,Clear,Foggy
"San Diego, CA",23-01-2024 02:00,57,62,29.72,299.3,59,58.08,3708.84,36.6,87.3,0.92,Accident,Foggy
"San Diego, CA",23-01-2024 03:00,68,15,17.6,341.82,65,11.5,1888.08,75.5,55.1,0.9,Clear,Cloudy
"Los Angeles, CA",23-01-2024 04:00,57,23,37.56,312.75,59,17.27,1036.94,43.91,46.2,0.96,Event Nearby,Cloudy
"San Jose, CA",23-01-2024 05:00,71,30,25.71,105.83,78,53.83,1883.1,78.32,65.8,0.98,Heavy Traffic,Cloudy
"San Antonio, TX",23-01-2024 06:00,30,34,14.41,369.88,62,70.81,4829.06,139.63,76.9,0.72,Clear,Snowy
"San Diego, CA",23-01-2024 07:00,72,30,10.75,83.46,85,60.79,4980.75,176.99,41.6,0.88,Road Construction,Foggy
"San Antonio, TX",23-01-2024 08:00,84,31,32.61,166.51,84,12.9,2744.34,159.85,93.4,0.74,Accident,Foggy
"San Diego, CA",23-01-2024 09:00,49,34,43.38,335.53,82,77.64,4333.85,146.66,97,0.76,Clear,Snowy
"Philadelphia, PA",23-01-2024 10:00,75,60,8.24,317.87,48,46.15,2801.08,141.05,55.8,0.84,Event Nearby,Rainy
"San Jose, CA",23-01-2024 11:00,32,55,26.06,170.83,47,30.79,2239.33,184.77,70.3,0.75,Heavy Traffic,Rainy
"San Jose, CA",23-01-2024 12:00,89,46,31.9,199.51,47,56.68,3994.38,76,38.4,0.93,Accident,Snowy
"San Jose, CA",23-01-2024 13:00,45,53,44.35,329.92,50,36.36,2815.07,185.97,33.3,0.79,Road Construction,Cloudy
"San Antonio, TX",23-01-2024 14:00,82,25,36.65,79.53,72,39.39,2211.55,142.73,35.4,0.74,Event Nearby,Snowy
"San Antonio, TX",23-01-2024 15:00,68,56,20.64,329.99,61,60.48,3586.82,199.98,82.3,0.78,Accident,Snowy
"San Antonio, TX",23-01-2024 16:00,92,58,16.12,145.53,72,77.71,3751.83,79.4,66.1,0.9,Event Nearby,Cloudy
"Dallas, TX",23-01-2024 17:00,46,38,17.54,379.37,81,19.23,2384.98,51.46,42.6,0.98,Heavy Traffic,Cloudy
"Houston, TX",23-01-2024 18:00,42,29,16.75,59.88,57,51.2,4440.83,113.96,46,0.99,Heavy Traffic,Snowy
"Los Angeles, CA",23-01-2024 19:00,52,44,40.37,84,88,37.69,4535.49,96.87,65.6,0.83,Road Construction,Rainy
"San Jose, CA",23-01-2024 20:00,79,21,34.84,357.78,57,16.72,2240.79,101.49,40.8,0.9,Accident,Sunny
"San Diego, CA",23-01-2024 21:00,89,56,30,327.06,55,60.58,2963.02,198.23,76.6,0.78,Heavy Traffic,Snowy
"New York, NY",23-01-2024 22:00,29,19,13.07,87.64,42,52.8,2582.08,74.77,85.7,0.71,Road Construction,Rainy
"Dallas, TX",23-01-2024 23:00,76,53,39,270.02,79,10.51,2691.77,109.9,67.8,0.9,Heavy Traffic,Cloudy
"New York, NY",24-01-2024 00:00,81,60,40.48,68.6,72,38.45,2726.02,34.71,72.5,0.91,Heavy Traffic,Sunny
"Phoenix, AZ",24-01-2024 01:00,36,25,35.14,107.19,77,57.01,2609.58,158.59,39.8,0.92,Accident,Snowy
"Dallas, TX",24-01-2024 02:00,65,46,35.48,307.76,87,31.81,3744.4,28.52,33.7,0.91,Event Nearby,Sunny
"New York, NY",24-01-2024 03:00,47,37,7.44,128.21,47,31.67,2661.83,129.11,83.5,0.75,Accident,Rainy
"San Jose, CA",24-01-2024 04:00,77,48,15.2,280.22,43,35.71,4500.36,72.57,64.5,0.94,Accident,Rainy
"Chicago, IL",24-01-2024 05:00,28,53,24.09,94.38,51,77.27,1979.86,161.13,71.7,0.98,Accident,Cloudy
"San Diego, CA",24-01-2024 06:00,50,67,40,215.25,57,20.88,1515.96,123.33,39.4,0.89,Road Construction,Cloudy
"Houston, TX",24-01-2024 07:00,71,40,8.95,147.94,42,33.8,1684.24,168.96,61.7,0.74,Heavy Traffic,Snowy
"Houston, TX",24-01-2024 08:00,27,18,23.84,50.38,69,75.79,1889.37,143.56,81.9,0.93,Event Nearby,Foggy
"Houston, TX",24-01-2024 09:00,44,68,23.55,289.9,67,57.73,1159.46,126.97,90.5,0.76,Road Construction,Snowy
"Houston, TX",24-01-2024 10:00,57,51,10.28,189.73,74,64.74,1487.75,162.94,50.3,0.99,Road Construction,Snowy
"Dallas, TX",24-01-2024 11:00,85,27,8.64,121.33,89,70.7,1636,115.62,77.8,0.94,Event Nearby,Sunny
"Chicago, IL",24-01-2024 12:00,91,44,17.88,65.53,67,41.12,3975.38,151.38,93.8,0.96,Heavy Traffic,Snowy
"Chicago, IL",24-01-2024 13:00,93,45,49.26,104.43,70,53.36,4909.57,163.6,87.4,0.95,Heavy Traffic,Sunny
"Houston, TX",24-01-2024 14:00,33,52,43.99,141.01,73,55.89,2717.81,170.72,80.3,0.89,Road Construction,Rainy
"Philadelphia, PA",24-01-2024 15:00,81,53,34.49,50,56,79.61,4534.64,110.93,46.7,0.82,Heavy Traffic,Rainy
"Chicago, IL",24-01-2024 16:00,91,17,10.12,393.22,60,13.14,1114.59,155.25,78,0.9,Road Construction,Rainy
"San Jose, CA",24-01-2024 17:00,72,55,36.58,176.3,66,16.1,2881.33,105.58,42.2,0.84,Heavy Traffic,Sunny
"Houston, TX",24-01-2024 18:00,22,33,9.4,129.65,69,71.2,3475.2,92.19,59.6,0.74,Heavy Traffic,Rainy
"San Antonio, TX",24-01-2024 19:00,81,28,49.56,261.37,79,73.7,4151.62,99.22,30.4,0.82,Accident,Rainy
"Philadelphia, PA",24-01-2024 20:00,71,20,16.6,387.89,79,30.61,1204.03,69.1,30.8,0.99,Event Nearby,Rainy
"New York, NY",24-01-2024 21:00,46,54,7.29,399.83,44,34.04,3348.31,134.35,71.2,0.79,Clear,Snowy
"Dallas, TX",24-01-2024 22:00,32,59,42.93,330.29,51,63.97,2867.64,130.94,33.1,0.93,Road Construction,Sunny
"Phoenix, AZ",24-01-2024 23:00,63,31,12.59,129.32,47,67.25,4345.56,176.82,95.5,0.76,Road Construction,Cloudy
"San Antonio, TX",25-01-2024 00:00,36,59,9.1,113.93,76,27.46,4014.68,15.18,44.5,0.72,Event Nearby,Rainy
"New York, NY",25-01-2024 01:00,39,22,16.08,293.65,46,18.52,2210.09,103.45,94.8,0.89,Accident,Rainy
"New York, NY",25-01-2024 02:00,28,48,10.75,175.49,89,39.19,4010.3,77.39,80.1,0.83,Event Nearby,Rainy
"Los Angeles, CA",25-01-2024 03:00,76,49,36.13,283.33,76,28.7,4597.56,87.84,36.7,0.99,Road Construction,Cloudy
"Los Angeles, CA",25-01-2024 04:00,28,56,34.74,366.62,61,53.37,4571.65,142.51,50.4,0.86,Event Nearby,Foggy
"Los Angeles, CA",25-01-2024 05:00,26,25,33.75,333.51,53,46.77,3410.28,108.53,38.9,0.71,Road Construction,Snowy
"New York, NY",25-01-2024 06:00,66,55,28.55,134.26,56,74.65,3840.39,176.05,47,0.82,Clear,Foggy
"Phoenix, AZ",25-01-2024 07:00,91,67,17.29,71.22,80,49.34,1563.98,125.77,93.1,0.88,Heavy Traffic,Rainy
"Houston, TX",25-01-2024 08:00,21,43,19.57,321.78,58,41.55,1532.25,81.2,90.3,0.77,Clear,Sunny
"Philadelphia, PA",25-01-2024 09:00,94,63,44.14,324.33,89,49.94,1501,157.74,45.4,0.8,Accident,Foggy
"San Jose, CA",25-01-2024 10:00,94,20,14.58,148.94,59,45.68,2426.93,94.34,32.3,0.76,Road Construction,Cloudy
"Houston, TX",25-01-2024 11:00,87,23,28.4,387.98,78,70.62,2132.16,117.68,79.5,0.77,Clear,Sunny
"San Jose, CA",25-01-2024 12:00,36,33,29.64,279.74,60,11.9,2610.31,109.77,48.9,0.89,Clear,Sunny
"Phoenix, AZ",25-01-2024 13:00,70,48,21.45,267.25,76,63.02,3919.81,57.33,32.6,0.85,Clear,Rainy
"San Jose, CA",25-01-2024 14:00,89,65,24.23,120.85,72,57.67,1667.32,99.74,38.9,0.83,Event Nearby,Sunny
"New York, NY",25-01-2024 15:00,28,17,44.53,151.45,77,21.27,1980.99,111.78,55.2,0.92,Road Construction,Rainy
"Los Angeles, CA",25-01-2024 16:00,28,66,9.14,213.67,48,41.45,4884.43,151.12,39.9,0.96,Accident,Foggy
"Dallas, TX",25-01-2024 17:00,52,39,35.55,166.04,81,49.02,1588.1,187.21,37.1,0.73,Accident,Snowy
"San Diego, CA",25-01-2024 18:00,92,25,10.12,127.96,82,33.62,4229.2,90.06,78.5,0.82,Heavy Traffic,Rainy
"San Diego, CA",25-01-2024 19:00,52,25,45.21,170.35,80,23.37,1651.64,88.75,65.5,1,Heavy Traffic,Foggy
"Philadelphia, PA",25-01-2024 20:00,83,47,8.11,376.24,57,43.81,1292.11,126.08,55.2,0.97,Event Nearby,Snowy
"San Diego, CA",25-01-2024 21:00,81,43,38.97,136.29,85,69.66,3972.2,60.35,97.7,0.71,Event Nearby,Foggy
"Chicago, IL",25-01-2024 22:00,82,34,33.43,270.84,63,14.06,4775.16,192.09,75.9,0.86,Event Nearby,Foggy
"Los Angeles, CA",25-01-2024 23:00,56,66,21.08,347.92,85,13.95,1908.86,169.46,74.3,0.77,Heavy Traffic,Snowy
"San Jose, CA",26-01-2024 00:00,30,62,43.74,244.1,65,46.1,2868.15,89.27,60,0.72,Road Construction,Snowy
"Houston, TX",26-01-2024 01:00,75,57,13.68,184,46,50.29,4773.45,55.82,98.1,0.94,Accident,Foggy
"Houston, TX",26-01-2024 02:00,88,17,35.15,254.47,64,71.3,2555.3,159.42,73.6,0.88,Road Construction,Cloudy
"Phoenix, AZ",26-01-2024 03:00,59,56,19.24,107.51,51,23.46,1467.27,191.87,53.6,0.72,Road Construction,Rainy
"San Antonio, TX",26-01-2024 04:00,91,42,24.95,77.18,75,54.26,2133.62,196.51,85.1,0.71,Heavy Traffic,Sunny
"Houston, TX",26-01-2024 05:00,82,66,49.42,259.58,71,33.32,3681.11,96.62,37.1,0.74,Road Construction,Rainy
"San Antonio, TX",26-01-2024 06:00,67,44,44.57,340.39,87,77.3,1225.41,143.23,70,0.97,Heavy Traffic,Cloudy
"Chicago, IL",26-01-2024 07:00,75,63,5.31,237.06,50,44.32,2378.05,98.8,74.3,0.75,Accident,Rainy
"San Diego, CA",26-01-2024 08:00,88,58,14.49,370.95,75,60.45,1385.24,148.68,35.2,0.98,Event Nearby,Cloudy
"Dallas, TX",26-01-2024 09:00,25,31,28.5,120,74,39.05,1493.12,138.28,37.4,0.78,Event Nearby,Rainy
"San Antonio, TX",26-01-2024 10:00,64,27,31.02,161.21,41,77.41,4429.72,44.83,74,0.82,Clear,Rainy
"San Antonio, TX",26-01-2024 11:00,58,69,36.94,239.48,53,27.4,2401.59,197.33,34.4,0.79,Clear,Foggy
"Dallas, TX",26-01-2024 12:00,37,38,45.33,274.36,68,48.93,1589.8,82.1,50,0.76,Accident,Cloudy
"Chicago, IL",26-01-2024 13:00,59,34,36.62,119.51,87,51.17,3544.12,48.18,78.8,0.85,Road Construction,Sunny
"Houston, TX",26-01-2024 14:00,75,26,5.12,136.37,77,48.35,4468.82,130.73,43.4,0.71,Accident,Rainy
"San Jose, CA",26-01-2024 15:00,38,25,37.83,162.36,50,17.29,2697.04,73.51,86.3,0.84,Heavy Traffic,Sunny
"San Diego, CA",26-01-2024 16:00,47,62,25.32,139.26,71,36.38,3606.27,121,97.8,0.95,Road Construction,Sunny
"Phoenix, AZ",26-01-2024 17:00,21,29,37.71,383.66,66,47.29,2092.81,129.09,81.3,0.87,Clear,Snowy
"San Antonio, TX",26-01-2024 18:00,62,40,16.29,344.49,61,71.83,1911.53,181.83,33.9,0.98,Accident,Sunny
"Dallas, TX",26-01-2024 19:00,91,19,30.03,124.56,42,54.16,2621.04,98.29,41.1,0.76,Event Nearby,Snowy
"Los Angeles, CA",26-01-2024 20:00,62,60,7.52,143.13,40,60.72,3377.18,154.58,67.6,0.9,Heavy Traffic,Foggy
"San Antonio, TX",26-01-2024 21:00,60,19,16.94,270.77,52,56.18,2949.36,154.49,80.3,0.98,Clear,Foggy
"Dallas, TX",26-01-2024 22:00,65,33,27.53,210.62,52,74.78,2212.57,124.11,30.6,0.87,Heavy Traffic,Rainy
"San Antonio, TX",26-01-2024 23:00,30,42,38.13,69.76,44,71.17,3812.49,24.04,69.9,0.98,Heavy Traffic,Rainy
